EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
107919,Toronto,M6M,Strip Mall,Strip Mall,Strip Mall,Strip Mall,Not Available,0.63937632,16.5,0.908301875,24.3512567,2.26230563,0.776621667,0.072150509,Not Available,Not Available,1.476378047,38.1,2.098704332,54.16,1.528690655,39.45,2.152179442,55.54,46.28481775,4.3,Not Available,Not Available,No,Not Available
107925,Toronto,M6M,Strip Mall,Strip Mall,Strip Mall,Strip Mall,Not Available,0.85250176,22,0.454150937,12.17562835,1.131152815,0.228178454,0.021198471,0.021198471,0.021198471,1.295802675,33.44,2.119241874,54.69,1.338040262,34.53,2.16109196,55.77,26.90977776,2.5,Not Available,Not Available,Yes,2021-05-31
107926,Toronto,M6M,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.375875776,9.7,0.681226406,18.26344252,1.696729223,3.55102719,0.3299012,0.3299012,0.3299012,1.025714617,26.47,1.398102886,36.08,1.049352166,27.08,1.416315423,36.55,34.44451554,3.2,Not Available,Not Available,Yes,2021-06-24
107941,Toronto,M6M,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.25187552,6.5,0.567688672,15.21953543,1.413941019,2.930870749,0.272286785,Not Available,Not Available,0.817626688,21.1,1.064077196,27.46,0.817626688,21.1,1.064077196,27.46,29.06255999,2.7,Not Available,Not Available,Yes,2021-07-06
107955,Toronto,M6M,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.236375488,6.1,0.681226406,18.26344252,1.696729223,2.19621762,0.20403528,Not Available,Not Available,0.932326924,24.06,1.169864915,30.19,0.961776985,24.82,1.194664966,30.83,35.52090665,3.3,Not Available,Not Available,Yes,2021-06-17
107962,Toronto,M9N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.25187552,6.5,1.135377343,30.43907087,2.827882038,3.687934263,0.342620282,Not Available,Not Available,1.255115091,32.39,1.50699061,38.89,1.336877759,34.5,1.587590777,40.97,50.5903822,4.7,Not Available,Not Available,Yes,2021-06-17
107971,Toronto,M9N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.21312544,5.5,0.79476414,21.30734961,1.979517426,2.565377761,0.238331378,Not Available,Not Available,0.955189472,24.65,1.166377407,30.1,1.006339577,25.97,1.217527513,31.42,37.67368887,3.5,Not Available,Not Available,No,Not Available
107977,Toronto,M9N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,1.139252351,29.4,0.908301875,24.3512567,2.26230563,4.674398615,0.434265814,Not Available,Not Available,2.00570414,51.76,3.108531416,80.22,2.049879231,52.9,3.152706507,81.36,49.51399109,4.6,Not Available,Not Available,Yes,2021-07-06
107979,TORONTO,M9N,Multifamily Housing,Mixed Use Property,Multifamily Housing,"Multifamily Housing, Office, Retail Store",Not Available,0.565751168,14.6,0.340613203,9.131721261,0.848364611,2.325382923,0.216035129,0.216035129,0.216035129,0.868776793,22.42,1.389965369,35.87,0.912951884,23.56,1.461653017,37.72,19.37503999,1.8,Not Available,Not Available,Yes,2021-07-01
107980,York,M9N,Multifamily Housing,Multifamily Housing,Multifamily Housing,"Multifamily Housing, Parking",Not Available,0.201500416,5.2,0.454150937,12.17562835,1.131152815,1.136817655,0.105613809,0.105613809,0.105613809,0.592876224,15.3,0.792826636,20.46,0.629301299,16.24,0.825764204,21.31,20.4514311,1.9,Not Available,Not Available,No,Not Available
